time,x,y,z
0.005,-0.22,0.22,-0.26
0.008,-0.18,0.30,-0.21
0.012,-0.14,0.33,-0.12
0.018,-0.14,0.30,-0.00
0.023,-0.11,0.28,0.23
0.028,-0.07,0.19,0.23
0.034,-0.09,0.14,0.19
0.038,-0.21,0.04,0.12
0.043,-0.26,-0.03,0.01
0.048,-0.24,-0.07,0.00
0.053,-0.23,-0.13,0.07
0.058,-0.20,-0.15,0.03
0.063,-0.08,-0.12,0.05
0.071,-0.02,-0.07,0.03
0.073,0.01,-0.01,-0.16
0.078,-0.03,0.11,-0.25
0.083,-0.07,0.20,-0.30
0.088,-0.08,0.25,-0.24
0.093,-0.05,0.30,-0.15
0.098,-0.03,0.34,-0.25
0.103,-0.02,0.39,-0.28
0.108,-0.02,0.39,-0.27
0.113,0.02,0.37,-0.29
0.119,-0.09,0.31,-0.21
0.125,-0.12,0.26,-0.15
0.128,-0.21,0.19,-0.13
0.133,-0.20,0.15,-0.03
0.138,-0.19,0.15,0.05
0.143,-0.19,0.12,0.08
0.148,-0.12,0.16,0.18
0.153,-0.19,0.15,0.25
0.159,-0.19,0.13,0.20
0.163,-0.20,0.11,0.26
0.180,-0.19,0.11,0.31
0.180,-0.18,0.06,0.24
0.186,-0.12,0.07,0.15
0.186,-0.13,0.06,0.10
0.194,-0.08,0.11,0.15
0.195,-0.04,0.12,0.16
0.198,-0.09,0.06,0.10
0.204,-0.14,0.13,0.03
0.209,-0.24,0.16,-0.05
0.213,-0.23,0.18,-0.08
0.221,-0.23,0.23,-0.07
0.226,-0.20,0.26,-0.00
0.229,-0.18,0.27,-0.08
0.234,-0.23,0.24,-0.09
0.239,-0.23,0.26,-0.08
0.244,-0.21,0.16,-0.21
0.249,-0.20,0.19,-0.18
0.254,-0.18,0.23,-0.23
0.259,-0.16,0.20,-0.12
0.264,-0.17,0.12,-0.09
0.269,-0.12,0.08,-0.20
0.276,-0.17,0.09,-0.27
0.279,-0.16,0.13,-0.29
0.284,-0.18,0.20,-0.26
0.290,-0.19,0.21,-0.19
0.294,-0.16,0.18,-0.16
0.299,-0.06,0.26,-0.03
0.313,-0.03,0.29,-0.06
0.314,-0.01,0.31,-0.02
0.315,-0.11,0.35,-0.07
0.319,-0.17,0.34,-0.13
0.324,-0.25,0.32,-0.19
0.329,-0.26,0.27,-0.22
0.334,-0.27,0.32,-0.24
0.341,-0.22,0.31,-0.09
0.345,-0.27,0.26,-0.03
0.349,-0.21,0.26,0.06
0.355,-0.11,0.25,0.03
0.359,-0.13,0.17,0.10
0.364,-0.09,0.18,0.02
0.369,-0.04,0.27,0.07
0.374,-0.01,0.30,0.02
0.379,-0.01,0.30,-0.02
0.385,-0.01,0.30,-0.08
0.389,-0.06,0.43,-0.16
0.394,-0.02,0.45,-0.13
0.399,0.05,0.50,-0.01
0.409,-0.00,0.53,-0.09
0.410,-0.17,0.46,-0.22
0.414,-0.22,0.44,-0.21
0.420,-0.26,0.44,-0.14
0.424,-0.23,0.46,-0.11
0.430,-0.22,0.35,-0.20
0.434,-0.21,0.35,-0.21
0.442,-0.15,0.35,-0.23
0.445,-0.15,0.28,-0.15
0.450,-0.15,0.29,-0.07
0.455,-0.29,0.30,-0.13
0.460,-0.29,0.33,-0.26
0.465,-0.32,0.32,-0.37
0.471,-0.22,0.33,-0.34
0.475,-0.19,0.33,-0.29
0.480,-0.14,0.33,-0.30
0.485,-0.09,0.33,-0.31
0.491,0.02,0.43,-0.26
0.495,0.09,0.51,-0.17
0.500,0.17,0.52,-0.13
0.517,0.14,0.53,-0.18
0.518,0.10,0.59,-0.33
0.518,0.08,0.74,-0.39
0.529,0.05,0.77,-0.37
0.531,0.14,0.75,-0.59
0.532,0.03,0.74,-0.56
0.535,0.03,0.74,-0.61
0.548,0.00,0.77,-0.82
0.549,-0.01,0.71,-0.81
0.551,-0.07,0.76,-0.69
0.555,-0.00,0.73,-0.57
0.572,0.01,0.65,-0.56
0.572,0.03,0.60,-0.48
0.573,0.02,0.49,-0.40
0.588,0.06,0.40,-0.29
0.589,0.12,0.40,-0.14
0.589,0.13,0.39,0.06
0.590,0.11,0.37,0.13
0.596,0.07,0.33,0.24
0.601,0.15,0.32,0.43
0.606,0.22,0.43,0.56
0.610,0.39,0.43,0.53
0.615,0.44,0.41,0.54
0.620,0.41,0.45,0.38
0.626,0.44,0.49,0.33
0.630,0.53,0.61,0.21
0.635,0.57,0.70,0.12
0.640,0.63,0.67,0.07
0.646,0.70,0.69,0.11
0.650,0.64,0.60,0.10
0.656,0.59,0.64,0.05
0.661,0.56,0.66,0.06
0.666,0.46,0.73,0.17
0.670,0.39,0.67,0.39
0.676,0.30,0.71,0.60
0.681,0.24,0.65,0.70
0.686,-0.06,0.72,0.81
0.691,0.26,0.71,0.70
0.696,0.12,0.70,0.52
0.701,0.21,0.72,0.48
0.707,0.18,0.77,0.38
0.712,0.24,0.64,0.24
0.716,0.19,0.70,0.15
0.721,0.15,0.76,0.13
0.726,0.09,0.90,-0.01
0.731,0.03,0.90,-0.16
0.736,0.04,0.91,-0.23
0.741,-0.07,0.99,-0.17
0.746,0.11,0.90,-0.61
0.751,0.09,0.81,-0.67
0.756,-0.07,0.85,-0.73
0.761,0.25,0.89,-0.67
0.766,0.28,0.91,-0.51
0.771,0.34,0.87,-0.59
0.777,0.26,0.80,-0.55
0.781,0.15,0.71,-0.46
0.786,0.12,0.74,-0.50
0.791,0.05,0.76,-0.43
0.796,0.07,0.75,-0.34
0.801,0.13,0.76,-0.28
0.806,0.24,0.77,-0.23
0.813,0.17,0.72,-0.16
0.816,0.31,1.02,-0.15
0.821,-0.14,0.79,0.14
0.826,-0.32,0.74,0.22
0.832,-0.33,0.77,0.07
0.836,-0.05,0.97,0.19
0.841,-0.06,1.13,0.32
0.846,-0.17,1.32,1.15
0.851,-0.04,1.06,0.56
0.856,0.11,1.01,0.58
0.861,0.10,0.95,0.67
0.867,0.23,0.78,0.46
0.871,0.46,0.80,0.35
0.876,0.60,0.92,0.45
0.881,0.50,0.87,0.36
0.887,0.37,0.87,0.22
0.892,0.38,0.88,0.07
0.897,0.36,0.87,-0.11
0.901,0.60,0.94,-0.35
0.907,0.41,0.85,-0.14
0.912,0.15,0.78,-0.24
0.917,0.15,0.73,-0.46
0.922,0.39,0.89,-0.43
0.927,0.25,0.97,-0.36
0.932,0.19,0.92,-0.31
0.937,0.20,0.85,-0.17
0.942,0.23,0.75,0.13
0.949,0.14,0.67,0.33
0.957,0.14,0.65,0.52
0.957,0.03,0.56,0.52
0.965,-0.01,0.53,0.76
0.967,-0.07,0.45,0.76
0.972,-0.15,0.38,0.83
0.977,-0.12,0.33,1.01
0.982,-0.10,0.31,0.94
0.987,-0.05,0.36,0.91
0.992,-0.06,0.41,0.64
0.997,-0.02,0.49,0.52
1.002,-0.01,0.52,0.34
1.008,0.03,0.51,0.16
1.012,0.06,0.57,0.16
1.017,0.05,0.60,0.13
1.022,0.07,0.36,0.12
1.027,0.19,0.33,0.24
1.032,0.16,0.33,0.46
1.038,0.25,0.25,0.57
1.042,0.59,-0.05,0.36
1.048,0.36,0.23,1.29
1.052,0.16,0.38,1.25
1.057,0.09,0.20,1.05
1.063,-0.03,0.12,0.96
1.068,-0.01,0.04,0.78
1.072,0.00,-0.05,0.72
1.077,0.18,-0.06,0.79
1.084,0.37,-0.10,0.85
1.088,0.46,-0.18,0.73
1.092,0.40,-0.27,0.61
1.098,0.35,-0.26,0.53
1.102,0.34,-0.20,0.62
1.108,0.37,-0.16,0.78
1.112,0.29,-0.18,0.88
1.117,0.07,-0.18,0.98
1.125,-0.12,-0.22,1.01
1.127,-0.38,-0.27,0.88
1.133,-0.55,-0.33,0.93
1.137,-0.72,-0.49,0.99
1.142,-0.86,-0.61,0.88
1.150,-0.87,-0.61,1.16
1.153,-0.85,-0.81,1.38
1.158,-0.75,-1.04,1.57
1.163,-0.54,-1.16,1.66
1.168,-0.36,-1.24,1.71
1.173,-0.20,-1.32,1.72
1.178,-0.08,-1.36,1.64
1.187,0.07,-1.41,1.43
1.189,0.18,-1.36,1.13
1.193,0.34,-1.23,0.80
1.198,0.48,-1.16,0.41
1.203,0.56,-0.95,0.10
1.208,0.53,-0.70,-0.20
1.213,0.70,-0.74,-0.34
1.218,0.89,-0.82,-0.76
1.225,1.19,-1.00,-1.14
1.228,1.18,-0.92,-1.42
1.233,1.14,-0.63,-1.61
1.238,1.04,-0.34,-1.71
1.243,0.78,-0.15,-2.02
1.248,0.54,-0.10,-2.18
1.253,0.40,-0.15,-2.51
1.258,0.36,-0.13,-2.73
1.263,0.34,-0.10,-2.74
1.268,0.32,-0.06,-2.75
1.273,0.17,-0.07,-2.75
1.278,-0.01,-0.16,-2.74
1.284,-0.25,-0.25,-2.77
1.288,-0.45,-0.24,-2.65
1.293,-0.53,-0.18,-2.39
1.298,-0.55,-0.23,-2.20
1.303,-0.67,-0.23,-1.94
1.308,-1.37,0.39,-1.84
1.313,-1.04,0.03,-1.42
1.321,-1.15,-0.45,-1.80
1.324,-1.05,-0.64,-1.86
1.328,-0.69,-0.73,-1.78
1.334,-0.38,-0.77,-1.75
1.338,-0.36,-0.61,-1.45
1.344,-0.34,-0.66,-1.28
1.349,0.86,-0.12,-1.51
1.353,-0.10,-0.92,-1.26
1.359,-0.74,-1.33,-0.54
1.363,-0.77,-1.36,0.00
1.369,-0.22,-1.16,-0.10
1.374,0.35,-1.30,-0.14
1.379,0.27,-1.15,0.12
1.384,0.12,-0.95,0.79
1.389,-0.24,-0.90,1.11
1.394,-0.47,-0.86,1.20
1.399,-0.60,-0.77,1.07
1.404,-0.59,-0.76,0.88
1.409,-0.58,-0.77,0.56
1.414,-0.53,-0.67,0.28
1.419,-0.53,-0.57,0.09
1.424,-0.50,-0.43,-0.23
1.429,-0.41,-0.31,-0.48
1.434,-1.92,1.04,-0.82
1.439,-0.96,0.79,-0.80
1.444,-1.04,0.06,-1.54
1.449,-0.63,-0.08,-2.11
1.456,-0.05,-0.04,-2.07
1.459,0.26,0.07,-1.92
1.464,0.38,0.23,-1.55
1.470,0.26,0.36,-1.34
1.474,0.09,0.54,-1.13
1.479,-0.06,0.53,-1.08
1.484,-0.19,0.48,-0.96
1.489,-0.29,0.42,-0.87
1.494,-0.33,0.32,-0.67
1.499,-0.37,0.27,-0.42
1.505,-0.28,0.21,-0.09
1.516,-0.13,0.10,0.09
1.517,-0.25,0.04,0.18
1.521,-0.17,0.01,0.19
1.524,-0.04,0.04,0.20
1.529,-0.16,0.07,0.20
1.535,-0.23,0.13,0.25
1.539,-0.20,0.10,0.27
1.545,0.23,-0.12,0.28
1.549,0.17,-0.20,0.34
1.555,0.13,0.12,0.22
1.559,-0.22,0.11,0.36
1.564,-0.38,0.20,0.47
1.570,-0.45,0.31,0.47
1.574,-0.01,0.48,0.01
1.579,-0.99,0.14,0.39
1.584,-1.36,0.14,0.83
1.591,-1.14,0.25,0.61
1.596,-0.69,0.49,0.15
1.599,-0.52,0.67,-0.24
1.605,-0.47,0.77,-0.26
1.610,-2.64,1.63,-0.14
1.615,-1.17,1.13,-0.28
1.619,-0.93,0.54,-0.71
1.625,-0.65,0.49,-0.93
1.630,0.09,0.46,-0.82
1.635,0.55,0.13,-0.62
1.640,0.42,0.32,-0.27
1.645,0.06,0.77,0.30
1.650,-0.42,0.72,0.55
1.655,-0.46,0.80,0.77
1.660,-0.51,0.69,0.99
1.665,-0.50,0.57,1.18
1.670,-0.51,0.45,1.30
1.675,-0.52,0.37,1.55
1.680,-0.61,0.33,1.80
1.685,-0.79,0.24,1.95
1.690,-0.87,0.21,1.91
1.695,-0.85,0.13,1.68
1.700,-0.80,-0.04,1.44
1.705,-0.84,-0.25,1.31
1.710,-0.68,-0.28,1.21
1.715,-0.86,-0.35,0.96
1.720,-1.02,-0.41,0.75
1.725,-1.02,-0.44,0.78
1.730,-0.87,-0.46,0.63
1.735,-0.97,-0.52,0.46
1.743,-1.06,-0.57,0.32
1.745,-1.20,-0.54,0.17
1.750,-1.19,-0.56,0.03
1.755,-1.15,-0.56,0.00
1.760,-1.02,-0.44,0.14
1.765,-1.17,-0.32,0.10
1.770,-1.13,-0.19,0.18
1.775,-1.01,-0.01,0.08
1.780,-0.81,0.18,0.02
1.785,-0.69,0.34,-0.08
1.791,-0.51,0.41,-0.33
1.795,-0.25,0.39,-0.50
1.800,-0.01,0.34,-0.65
1.805,0.12,0.25,-0.84
1.810,0.18,0.16,-0.98
1.815,0.26,0.08,-1.13
1.821,0.37,-0.13,-1.04
1.825,0.43,-0.36,-0.88
1.830,0.37,-0.60,-0.62
1.835,0.16,-0.86,-0.12
1.841,-0.07,-1.00,0.36
1.846,-0.41,-1.25,0.96
1.851,-0.76,-1.45,1.49
1.856,-0.99,-1.70,1.77
1.861,-1.22,-1.95,2.09
1.866,-1.41,-2.07,2.14
1.871,-1.38,-2.15,2.16
1.880,-1.23,-2.21,1.99
1.882,-1.06,-2.27,1.79
1.888,-0.99,-2.23,1.43
1.892,-0.85,-2.21,1.13
1.896,-0.68,-2.13,0.67
1.901,-0.57,-2.10,0.08
1.906,-0.44,-1.95,-0.39
1.911,-0.29,-1.76,-0.74
1.916,-0.21,-1.57,-0.78
1.921,-0.19,-1.52,-0.78
1.926,-0.12,-1.47,-0.53
1.931,-0.21,-1.42,-0.22
1.936,-0.05,-1.24,0.13
1.941,-0.54,-1.69,0.56
1.947,-0.75,-2.00,0.61
1.951,-0.53,-1.87,1.01
1.957,-0.37,-1.75,1.37
1.961,-0.34,-1.90,1.35
1.966,-0.31,-1.84,1.29
1.971,-0.34,-1.70,1.23
1.977,-0.41,-1.69,1.10
1.981,-0.49,-1.67,0.70
1.986,-0.45,-1.58,0.21
1.991,-0.37,-1.49,-0.30
1.996,-0.19,-1.37,-0.75
2.002,-0.12,-1.34,-1.21
2.006,0.01,-1.19,-1.58
2.012,-0.11,-0.87,-1.49
2.017,-0.16,-0.97,-2.20
2.021,-0.14,-0.87,-2.43
2.031,0.04,-0.60,-2.29
2.032,0.07,-0.52,-2.14
2.036,0.08,-0.62,-2.24
2.042,0.15,-0.58,-2.33
2.046,0.14,-0.47,-2.16
2.052,0.12,-0.28,-2.12
2.056,0.18,-0.28,-2.13
2.062,0.15,-0.20,-2.25
2.066,0.14,-0.04,-2.07
2.071,0.02,0.04,-1.87
2.077,-0.02,0.03,-1.82
2.081,-0.00,0.05,-1.75
2.086,0.08,0.11,-1.68
2.092,0.13,0.13,-1.72
2.097,0.28,0.19,-1.76
2.102,0.47,0.22,-1.77
2.107,0.54,0.23,-1.66
2.112,0.52,0.20,-1.50
2.117,0.50,0.13,-1.30
2.124,0.48,0.08,-1.14
2.127,0.41,0.07,-0.98
2.132,0.32,0.12,-0.84
2.137,0.21,0.06,-0.77
2.143,0.14,-0.02,-0.72
2.148,-0.00,-0.06,-0.78
2.154,-0.04,-0.13,-0.72
2.160,-0.08,-0.14,-0.64
2.164,-0.16,-0.24,-0.40
2.167,-0.26,-0.32,-0.33
2.172,-0.28,-0.33,-0.17
2.177,-0.36,-0.39,-0.07
2.182,-0.43,-0.41,-0.06
2.187,-0.44,-0.39,-0.07
2.192,-0.35,-0.30,-0.05
2.197,-0.24,-0.16,-0.02
2.202,-0.09,-0.07,0.09
2.207,0.10,-0.01,0.05
2.213,0.29,0.12,-0.04
2.217,0.44,0.23,-0.23
2.225,0.59,0.35,-0.58
2.227,0.57,0.41,-0.80
2.232,0.50,0.50,-0.89
2.237,0.50,0.54,-0.90
2.242,0.53,0.60,-0.77
2.247,0.58,0.64,-0.87
2.252,0.64,0.64,-0.75
2.257,0.60,0.60,-0.65
2.262,0.49,0.55,-0.42
2.267,0.40,0.46,-0.21
2.272,0.36,0.35,-0.09
2.278,0.31,0.29,-0.07
2.282,0.32,0.24,0.05
2.288,0.24,0.14,0.20
2.292,0.24,0.15,0.34
2.300,0.20,0.07,0.57
2.306,0.18,0.07,0.90
2.307,0.09,0.01,1.15
2.313,-0.02,-0.01,1.38
2.317,-0.05,-0.10,1.51
2.323,-0.17,0.14,1.94
2.328,-0.42,-0.39,1.54
2.333,-0.28,-0.30,1.51
2.338,-0.28,-0.31,1.65
2.342,-0.17,-0.39,1.77
2.349,-0.21,-0.71,1.88
2.353,0.06,-0.79,1.47
2.358,0.13,-0.46,1.43
2.363,-0.26,-0.41,1.42
2.368,-0.48,-0.49,1.37
2.373,-0.40,-0.32,1.16
2.378,-0.28,-0.18,0.89
2.383,-0.07,-0.11,0.38
2.388,0.20,-0.03,-0.08
2.393,0.45,0.04,-0.27
2.400,0.69,0.13,-0.47
2.403,0.74,0.15,-0.40
2.408,0.62,0.17,-0.31
2.413,0.45,0.07,-0.16
2.418,0.12,-0.26,0.20
2.423,-0.19,-0.63,0.77
2.428,-0.47,-0.93,1.27
2.438,-0.68,-1.20,2.10
2.439,-0.85,-1.41,2.71
2.447,-1.04,-1.64,3.35
2.448,-1.04,-1.82,3.71
2.453,-0.99,-1.98,3.86
2.458,-0.96,-2.11,3.70
2.463,-0.89,-2.23,3.35
2.468,-0.81,-2.26,2.71
2.473,-0.69,-2.26,2.17
2.478,-0.55,-2.11,1.63
2.484,-0.33,-2.06,1.11
2.488,-0.22,-1.79,0.60
2.493,-0.13,-1.53,-0.00
2.498,-0.09,-1.29,-0.63
2.503,-0.09,-1.01,-1.18
2.508,-0.08,-0.81,-1.72
2.514,-0.08,-0.62,-2.16
2.518,0.01,-0.52,-2.30
2.524,0.21,-0.36,-2.51
2.528,0.30,-0.24,-2.42
2.535,0.25,-0.21,-2.49
2.538,0.18,-0.21,-2.41
2.543,0.04,-0.26,-2.32
2.548,-0.14,-0.37,-2.07
2.553,-0.31,-0.56,-1.73
2.558,-0.47,-0.78,-1.27
2.564,-0.62,-0.92,-0.90
2.571,-0.77,-1.11,-0.65
2.577,-0.83,-1.15,-0.30
2.582,-0.88,-1.25,-0.06
2.586,-0.93,-1.29,0.06
2.589,-1.08,-1.34,0.07
2.594,-1.25,-1.41,0.11
2.599,-1.37,-1.41,0.27
2.604,-1.41,-1.45,0.29
2.609,-1.44,-1.38,0.27
2.613,-1.69,-1.53,0.23
2.619,-1.42,-1.57,-0.29
2.624,-1.13,-1.27,-0.15
2.629,-1.20,-1.33,0.06
2.634,-1.07,-1.35,-0.06
2.639,-1.00,-1.26,-0.18
2.644,-0.97,-1.08,-0.31
2.649,-0.90,-0.90,-0.27
2.654,-0.84,-0.74,-0.53
2.659,-0.73,-0.64,-0.64
2.664,-0.65,-0.53,-0.86
2.669,-0.49,-0.44,-1.04
2.674,-0.38,-0.34,-1.24
2.679,-0.30,-0.22,-1.34
2.684,-0.19,-0.04,-1.54
2.689,-0.14,0.04,-1.75
2.694,-0.18,0.16,-2.11
2.699,-0.15,0.26,-2.32
2.704,-0.18,0.30,-2.37
2.709,-0.15,0.35,-2.21
2.714,-0.22,0.28,-2.17
2.724,-0.37,0.26,-2.04
2.729,-0.49,0.16,-1.85
2.729,-0.64,0.05,-1.68
2.734,-0.71,-0.12,-1.53
2.739,-0.81,-0.22,-1.27
2.744,-0.85,-0.29,-0.94
2.749,-0.86,-0.32,-0.77
2.754,-0.89,-0.28,-0.57
2.759,-0.93,-0.37,-0.49
2.764,-1.01,-0.31,-0.53
2.770,-1.04,-0.32,-0.41
2.774,-0.98,-0.23,-0.33
2.779,-0.98,-0.14,-0.33
2.785,-0.99,-0.07,-0.26
2.789,-0.91,0.02,-0.18
2.794,-0.90,0.09,-0.23
2.799,-0.81,0.15,-0.32
2.805,-0.68,0.20,-0.43
2.809,-0.57,0.36,-0.41
2.814,-0.54,0.42,-0.34
2.819,-0.47,0.45,-0.14
2.824,-0.46,0.48,-0.06
2.829,-0.48,0.48,-0.13
2.835,-0.50,0.47,-0.28
2.840,-0.47,0.49,-0.34
2.844,-0.47,0.42,-0.22
2.849,-0.49,0.37,-0.27
2.858,-0.49,0.29,-0.12
2.865,-0.46,0.23,-0.06
2.866,-0.48,0.12,0.20
2.870,-0.56,0.07,0.36
2.875,-0.57,0.03,0.61
2.880,-0.58,0.02,0.88
2.886,-0.48,-0.06,1.06
2.892,-0.38,-0.09,1.23
2.895,-0.31,-0.06,1.47
2.900,-0.30,-0.05,1.51
2.907,-0.28,-0.07,1.46
2.910,-0.25,-0.09,1.27
2.915,-0.11,-0.13,1.05
2.920,-0.04,-0.16,1.01
2.925,-0.08,-0.18,0.89
2.931,-0.08,-0.18,0.84
2.937,-0.10,-0.20,0.87
2.942,-0.17,-0.16,0.93
2.945,-0.26,-0.13,0.81
2.950,-0.40,-0.07,0.68
2.957,-0.43,0.04,0.41
2.960,-0.35,0.13,0.10
2.965,-0.16,0.29,-0.16
2.970,0.03,0.35,-0.33
2.975,0.28,0.35,-0.39
2.981,0.59,0.41,-0.47
2.985,0.73,0.31,-0.48
2.994,0.85,0.15,-0.40
2.997,0.87,-0.18,-0.13
3.000,0.81,-0.56,0.30
3.005,0.73,-0.86,0.85
3.010,0.55,-1.17,1.54
3.015,0.40,-1.56,2.16
3.020,0.18,-1.85,2.76
3.025,0.01,-2.07,3.26
3.030,-0.22,-2.21,3.55
3.035,-0.41,-2.36,3.72
3.041,-0.57,-2.46,3.86
3.045,-0.68,-2.40,3.62
3.050,-0.69,-2.30,3.34
3.055,-0.68,-2.21,2.78
3.060,-0.63,-2.09,2.05
3.065,-0.47,-1.88,1.15
3.070,-0.31,-1.56,0.18
3.075,-0.20,-1.21,-0.74
3.080,-0.06,-0.94,-1.56
3.085,0.05,-0.73,-2.22
3.091,0.14,-0.50,-2.73
3.095,0.25,-0.41,-2.94
3.101,0.30,-0.25,-2.77
3.106,0.27,-0.18,-2.61
3.111,0.23,-0.18,-2.46
3.115,0.25,-0.25,-2.20
3.123,0.34,-0.31,-1.92
3.126,0.49,-0.39,-1.54
3.130,0.61,-0.50,-1.00
3.135,0.70,-0.64,-0.50
3.145,0.83,-0.79,-0.13
3.146,0.90,-1.02,0.03
3.151,1.01,-1.08,0.33
3.156,1.11,-1.23,0.40
3.162,1.03,-1.26,0.56
3.166,0.97,-1.27,0.67
3.171,0.85,-1.25,0.75
3.176,0.72,-1.26,0.67
3.181,0.53,-1.18,0.53
3.186,0.30,-1.13,0.35
3.191,0.12,-1.17,-0.09
3.196,0.07,-1.11,-0.38
3.201,0.01,-1.08,-0.67
3.207,-0.04,-1.02,-0.77
3.211,-0.15,-0.98,-0.85
3.216,-0.33,-0.91,-0.83
3.221,-0.45,-0.90,-0.70
3.229,-0.49,-0.73,-0.72
3.231,-0.47,-0.62,-0.75
3.236,-0.41,-0.57,-0.78
3.241,-0.34,-0.48,-0.78
3.246,-0.26,-0.36,-0.87
3.253,-0.17,-0.27,-1.01
3.258,-0.08,-0.20,-1.24
3.261,0.05,-0.12,-1.23
3.266,0.13,0.00,-1.31
3.271,0.28,0.06,-1.52
3.280,0.45,0.05,-1.65
3.286,0.64,0.06,-1.70
3.287,0.80,0.09,-1.68
3.292,0.72,0.11,-1.51
3.303,0.61,0.09,-1.20
3.304,0.53,0.03,-0.91
3.333,0.47,-0.03,-0.67
3.333,0.41,-0.07,-0.41
3.334,0.41,-0.07,-0.25
3.335,0.28,-0.11,-0.11
3.336,0.27,-0.13,0.01
3.337,0.31,-0.16,0.14
3.338,0.29,-0.12,0.13
3.343,0.26,-0.18,0.11
3.347,0.31,-0.12,-0.03
3.352,0.29,-0.04,-0.13
3.357,0.33,-0.01,-0.26
3.363,0.40,0.05,-0.32
3.367,0.41,0.07,-0.41
